ProjectName Status Code SCM HTTPURL RepoURL
aimlbot active Yes SVN https://svn.code.sf.net/p/aimlbot/code/trunk svn://svn.code.sf.net/p/aimlbot/code/trunk
airpwn active No
ajaxcards active Yes SVN https://svn.code.sf.net/p/ajaxcards/code/trunk svn://svn.code.sf.net/p/ajaxcards/code/trunk
ajhotdraw active No
alamode active No
alchemy active Yes SVN https://svn.code.sf.net/p/alchemy/code/trunk svn://svn.code.sf.net/p/alchemy/code/trunk
alicebot active No
aligner active No
alignnemo active Yes Git https://git.code.sf.net/p/alignnemo/code git://git.code.sf.net/p/alignnemo/code
alignnemociriello rotten No
alkhalil active No
allim active Yes SVN https://svn.code.sf.net/p/allim/code/trunk svn://svn.code.sf.net/p/allim/code/trunk
alphababy rotten No
altrans active No
ambit active Yes SVN https://svn.code.sf.net/p/ambit/code/trunk svn://svn.code.sf.net/p/ambit/code/trunk
ambit active Yes Git https://git.code.sf.net/p/ambit/git git://git.code.sf.net/p/ambit/git
amici active No
amide active Yes Mercurial None http://hg.code.sf.net/p/amide/code
amino-cbbs active Yes SVN https://svn.code.sf.net/p/amino-cbbs/svn/trunk svn://svn.code.sf.net/p/amino-cbbs/svn/trunk
ammoria active No
amoreaccuratefouriertransform active No
amos active Yes Git https://git.code.sf.net/p/amos/code git://git.code.sf.net/p/amos/code
amplimethprofiler active Yes Git https://git.code.sf.net/p/amplimethprofiler/code git://git.code.sf.net/p/amplimethprofiler/code
amptools rotten No
amroc active No
amtoolbox active Yes SVN https://svn.code.sf.net/p/amtoolbox/svn/ svn://svn.code.sf.net/p/amtoolbox/svn/
amtoolbox active Yes Git https://git.code.sf.net/p/amtoolbox/www git://git.code.sf.net/p/amtoolbox/www
amtoolbox active Yes Git https://git.code.sf.net/p/amtoolbox/code git://git.code.sf.net/p/amtoolbox/code
amunhoney active Yes SVN https://svn.code.sf.net/p/amunhoney/code/ svn://svn.code.sf.net/p/amunhoney/code/
anc active No
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/push git://git.code.sf.net/p/android-x86/push
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_libdrm git://git.code.sf.net/p/android-x86/external_libdrm
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_wpa_supplicant_8 git://git.code.sf.net/p/android-x86/external_wpa_supplicant_8
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_broadcom_wlan git://git.code.sf.net/p/android-x86/hardware_broadcom_wlan
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_stagefright-plugins git://git.code.sf.net/p/android-x86/external_stagefright-plugins
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_liblights git://git.code.sf.net/p/android-x86/hardware_liblights
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_libhardware git://git.code.sf.net/p/android-x86/hardware_libhardware
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_TSCalibration2 git://git.code.sf.net/p/android-x86/packages_apps_TSCalibration2
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_intel_libsensors git://git.code.sf.net/p/android-x86/hardware_intel_libsensors
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_libaudio git://git.code.sf.net/p/android-x86/hardware_libaudio
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_libhardware_legacy git://git.code.sf.net/p/android-x86/hardware_libhardware_legacy
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Settings git://git.code.sf.net/p/android-x86/packages_apps_Settings
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_mesa git://git.code.sf.net/p/android-x86/external_mesa
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_llvm git://git.code.sf.net/p/android-x86/external_llvm
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_ntfs-3g git://git.code.sf.net/p/android-x86/external_ntfs-3g
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/frameworks_av git://git.code.sf.net/p/android-x86/frameworks_av
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_bluetooth_bluez git://git.code.sf.net/p/android-x86/external_bluetooth_bluez
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/frameworks_native git://git.code.sf.net/p/android-x86/frameworks_native
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_ppp git://git.code.sf.net/p/android-x86/external_ppp
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_libsensors git://git.code.sf.net/p/android-x86/hardware_libsensors
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_ril git://git.code.sf.net/p/android-x86/hardware_ril
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_core git://git.code.sf.net/p/android-x86/system_core
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_extras git://git.code.sf.net/p/android-x86/system_extras
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_libpciaccess git://git.code.sf.net/p/android-x86/external_libpciaccess
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Bluetooth git://git.code.sf.net/p/android-x86/packages_apps_Bluetooth
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_bluetooth_sbc git://git.code.sf.net/p/android-x86/external_bluetooth_sbc
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_v86d git://git.code.sf.net/p/android-x86/external_v86d
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_libcamera git://git.code.sf.net/p/android-x86/hardware_libcamera
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_CMFileManager git://git.code.sf.net/p/android-x86/packages_apps_CMFileManager
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_parted git://git.code.sf.net/p/android-x86/external_parted
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_bluetooth_glib git://git.code.sf.net/p/android-x86/external_bluetooth_glib
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_gps git://git.code.sf.net/p/android-x86/hardware_gps
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_libtruezip git://git.code.sf.net/p/android-x86/external_libtruezip
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Trebuchet git://git.code.sf.net/p/android-x86/packages_apps_Trebuchet
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/dalvik git://git.code.sf.net/p/android-x86/dalvik
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_busybox git://git.code.sf.net/p/android-x86/external_busybox
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_intel_hwcomposer git://git.code.sf.net/p/android-x86/hardware_intel_hwcomposer
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_e2fsprogs git://git.code.sf.net/p/android-x86/external_e2fsprogs
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_koush_Superuser git://git.code.sf.net/p/android-x86/external_koush_Superuser
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_broadcom_libbt git://git.code.sf.net/p/android-x86/hardware_broadcom_libbt
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_koush_Widgets git://git.code.sf.net/p/android-x86/external_koush_Widgets
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_drm_gralloc git://git.code.sf.net/p/android-x86/external_drm_gralloc
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_ffmpeg git://git.code.sf.net/p/android-x86/external_ffmpeg
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_eject git://git.code.sf.net/p/android-x86/external_eject
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_exfat git://git.code.sf.net/p/android-x86/external_exfat
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/art git://git.code.sf.net/p/android-x86/art
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_vold git://git.code.sf.net/p/android-x86/system_vold
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/build git://git.code.sf.net/p/android-x86/build
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_bluetooth_bluedroid git://git.code.sf.net/p/android-x86/external_bluetooth_bluedroid
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_modules_rtl8723au git://git.code.sf.net/p/android-x86/external_modules_rtl8723au
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_hp_tx2500 git://git.code.sf.net/p/android-x86/device_hp_tx2500
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_inputmethods_PinyinIME git://git.code.sf.net/p/android-x86/packages_inputmethods_PinyinIME
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/manifest git://git.code.sf.net/p/android-x86/manifest
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_bluetooth git://git.code.sf.net/p/android-x86/system_bluetooth
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_tegatech_tegav2 git://git.code.sf.net/p/android-x86/device_tegatech_tegav2
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_generic_x86_64 git://git.code.sf.net/p/android-x86/device_generic_x86_64
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/bootable_newinstaller git://git.code.sf.net/p/android-x86/bootable_newinstaller
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_ibm_thinkpad git://git.code.sf.net/p/android-x86/device_ibm_thinkpad
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_webkit git://git.code.sf.net/p/android-x86/external_webkit
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_srec git://git.code.sf.net/p/android-x86/external_srec
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_FileManager git://git.code.sf.net/p/android-x86/packages_apps_FileManager
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Superuser git://git.code.sf.net/p/android-x86/packages_apps_Superuser
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_AndroidTerm git://git.code.sf.net/p/android-x86/packages_apps_AndroidTerm
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_common git://git.code.sf.net/p/android-x86/device_common
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_generic_common git://git.code.sf.net/p/android-x86/device_generic_common
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_asus git://git.code.sf.net/p/android-x86/device_asus
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_amd git://git.code.sf.net/p/android-x86/device_amd
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_generic_x86 git://git.code.sf.net/p/android-x86/device_generic_x86
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_mksh git://git.code.sf.net/p/android-x86/external_mksh
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_tslib git://git.code.sf.net/p/android-x86/external_tslib
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/sdk git://git.code.sf.net/p/android-x86/sdk
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_lenovo_s103t git://git.code.sf.net/p/android-x86/device_lenovo_s103t
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_wpa_supplicant_6 git://git.code.sf.net/p/android-x86/external_wpa_supplicant_6
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/bionic git://git.code.sf.net/p/android-x86/bionic
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_alsa-lib git://git.code.sf.net/p/android-x86/external_alsa-lib
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/frameworks_base git://git.code.sf.net/p/android-x86/frameworks_base
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_alsa-utils git://git.code.sf.net/p/android-x86/external_alsa-utils
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Launcher git://git.code.sf.net/p/android-x86/packages_apps_Launcher
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/vendor_intel_houdini git://git.code.sf.net/p/android-x86/vendor_intel_houdini
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_SoundRecorder git://git.code.sf.net/p/android-x86/packages_apps_SoundRecorder
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/vendor_samsung_q1u git://git.code.sf.net/p/android-x86/vendor_samsung_q1u
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_opencore git://git.code.sf.net/p/android-x86/external_opencore
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/development git://git.code.sf.net/p/android-x86/development
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_asus_eeepc git://git.code.sf.net/p/android-x86/device_asus_eeepc
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_wacom_input git://git.code.sf.net/p/android-x86/hardware_wacom_input
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_alsa_sound git://git.code.sf.net/p/android-x86/hardware_alsa_sound
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_menlow_ioport git://git.code.sf.net/p/android-x86/hardware_menlow_ioport
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_vm_vm git://git.code.sf.net/p/android-x86/device_vm_vm
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_dhcpcd git://git.code.sf.net/p/android-x86/external_dhcpcd
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_menlow_psb git://git.code.sf.net/p/android-x86/hardware_menlow_psb
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_asus_laptop git://git.code.sf.net/p/android-x86/device_asus_laptop
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/libcore git://git.code.sf.net/p/android-x86/libcore
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Browser git://git.code.sf.net/p/android-x86/packages_apps_Browser
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Camera git://git.code.sf.net/p/android-x86/packages_apps_Camera
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/prebuilt git://git.code.sf.net/p/android-x86/prebuilt
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_amd_persimmon git://git.code.sf.net/p/android-x86/device_amd_persimmon
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_dell_sparta git://git.code.sf.net/p/android-x86/device_dell_sparta
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_mplayer git://git.code.sf.net/p/android-x86/external_mplayer
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_wpa_supplicant git://git.code.sf.net/p/android-x86/external_wpa_supplicant
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/frameworks_policies_base git://git.code.sf.net/p/android-x86/frameworks_policies_base
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/ndk git://git.code.sf.net/p/android-x86/ndk
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Music git://git.code.sf.net/p/android-x86/packages_apps_Music
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_providers_ImProvider git://git.code.sf.net/p/android-x86/packages_providers_ImProvider
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_viliv_s5 git://git.code.sf.net/p/android-x86/device_viliv_s5
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_motion_m1400 git://git.code.sf.net/p/android-x86/device_motion_m1400
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_providers_DownloadProvider git://git.code.sf.net/p/android-x86/packages_providers_DownloadProvider
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_wallpapers_Basic git://git.code.sf.net/p/android-x86/packages_wallpapers_Basic
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Contacts git://git.code.sf.net/p/android-x86/packages_apps_Contacts
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_AlarmClock git://git.code.sf.net/p/android-x86/packages_apps_AlarmClock
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_wallpapers_MusicVisualization git://git.code.sf.net/p/android-x86/packages_wallpapers_MusicVisualization
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_ConnectBot git://git.code.sf.net/p/android-x86/packages_apps_ConnectBot
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_wallpapers_MagicSmoke git://git.code.sf.net/p/android-x86/packages_wallpapers_MagicSmoke
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Gallery3D git://git.code.sf.net/p/android-x86/packages_apps_Gallery3D
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/kernel git://git.code.sf.net/p/android-x86/kernel
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_LIME git://git.code.sf.net/p/android-x86/packages_apps_LIME
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_IM git://git.code.sf.net/p/android-x86/packages_apps_IM
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Calendar git://git.code.sf.net/p/android-x86/packages_apps_Calendar
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_DeskClock git://git.code.sf.net/p/android-x86/packages_apps_DeskClock
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_toybox git://git.code.sf.net/p/android-x86/external_toybox
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_drm_hwcomposer git://git.code.sf.net/p/android-x86/external_drm_hwcomposer
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_generic_firmware git://git.code.sf.net/p/android-x86/device_generic_firmware
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Eleven git://git.code.sf.net/p/android-x86/packages_apps_Eleven
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_s2tc git://git.code.sf.net/p/android-x86/external_s2tc
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_x86power git://git.code.sf.net/p/android-x86/hardware_x86power
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_intel_audio_media git://git.code.sf.net/p/android-x86/hardware_intel_audio_media
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_services_Analytics git://git.code.sf.net/p/android-x86/packages_services_Analytics
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_googleanalytics git://git.code.sf.net/p/android-x86/external_googleanalytics
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/sf-manifest git://git.code.sf.net/p/android-x86/sf-manifest
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_powerbtnd git://git.code.sf.net/p/android-x86/hardware_powerbtnd
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/device_viewsonic_viewpad10 git://git.code.sf.net/p/android-x86/device_viewsonic_viewpad10
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_bt git://git.code.sf.net/p/android-x86/system_bt
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Camera2 git://git.code.sf.net/p/android-x86/packages_apps_Camera2
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_netd git://git.code.sf.net/p/android-x86/system_netd
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_intel_common_libva git://git.code.sf.net/p/android-x86/hardware_intel_common_libva
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_media git://git.code.sf.net/p/android-x86/system_media
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_intel_common_vaapi git://git.code.sf.net/p/android-x86/hardware_intel_common_vaapi
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_vboxguest-linux-modules git://git.code.sf.net/p/android-x86/external_vboxguest-linux-modules
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Taskbar git://git.code.sf.net/p/android-x86/packages_apps_Taskbar
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_gbm_gralloc git://git.code.sf.net/p/android-x86/external_gbm_gralloc
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/packages_apps_Gallery2 git://git.code.sf.net/p/android-x86/packages_apps_Gallery2
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_swiftshader git://git.code.sf.net/p/android-x86/external_swiftshader
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_efibootmgr git://git.code.sf.net/p/android-x86/external_efibootmgr
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_minigbm git://git.code.sf.net/p/android-x86/external_minigbm
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/hardware_interfaces git://git.code.sf.net/p/android-x86/hardware_interfaces
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/external_efivar git://git.code.sf.net/p/android-x86/external_efivar
android-x86 active Yes Git https://git.code.sf.net/p/android-x86/system_connectivity_wificond git://git.code.sf.net/p/android-x86/system_connectivity_wificond
andromda active Yes SVN https://svn.code.sf.net/p/andromda/svn/trunk svn://svn.code.sf.net/p/andromda/svn/trunk
anets active No
anharmonica active Yes Git https://git.code.sf.net/p/anharmonica/code git://git.code.sf.net/p/anharmonica/code
ani3d active No
animl active No
anji active No
antenna active No
antimony active Yes SVN https://svn.code.sf.net/p/antimony/code/ svn://svn.code.sf.net/p/antimony/code/
antiparser active No
ao rotten No
aodvuu active Yes SVN https://svn.code.sf.net/p/aodvuu/code/trunk svn://svn.code.sf.net/p/aodvuu/code/trunk
aoflagger active Yes Git https://git.code.sf.net/p/aoflagger/code git://git.code.sf.net/p/aoflagger/code
apapl active Yes SVN https://svn.code.sf.net/p/apapl/code/trunk svn://svn.code.sf.net/p/apapl/code/trunk
aparat active Yes SVN https://svn.code.sf.net/p/aparat/code/trunk svn://svn.code.sf.net/p/aparat/code/trunk
apbs moved No
apemost active Yes Git https://git.code.sf.net/p/apemost/code git://git.code.sf.net/p/apemost/code
