Directory,URICount,Category,TotalURIs
2017-06,0,GitLab,6342
2017-06,0,Bitbucket,6342
2012-05,2795,Total,2795
2012-05,706,OADS,2795
2012-05,2079,NonOADS,2795
2012-05,8,SourceForge,2795
2012-05,2,GitHub,2795
2012-05,0,GitLab,2795
2012-05,0,Bitbucket,2795
2001-01,87,Total,87
2001-01,13,OADS,87
2001-01,74,NonOADS,87
2001-01,0,SourceForge,87
2001-01,0,GitHub,87
2001-01,0,GitLab,87
2001-01,0,Bitbucket,87
2008-02,289,Total,289
2008-02,71,OADS,289
2008-02,218,NonOADS,289
2008-02,0,SourceForge,289
2008-02,0,GitHub,289
2008-02,0,GitLab,289
2008-02,0,Bitbucket,289
2017-10,81,Total,81
2017-10,7,OADS,81
2017-10,74,NonOADS,81
2017-10,0,SourceForge,81
2017-10,0,GitHub,81
2017-10,0,GitLab,81
2017-10,0,Bitbucket,81
1998-09,54,Total,54
1998-09,4,OADS,54
1998-09,50,NonOADS,54
1998-09,0,SourceForge,54
1998-09,0,GitHub,54
1998-09,0,GitLab,54
1998-09,0,Bitbucket,54
2009-10,819,Total,819
2009-10,168,OADS,819
2009-10,649,NonOADS,819
2009-10,2,SourceForge,819
2009-10,0,GitHub,819
2009-10,0,GitLab,819
2009-10,0,Bitbucket,819
2016-02,6666,Total,6666
2016-02,1074,OADS,6666
2016-02,5570,NonOADS,6666
2016-02,8,SourceForge,6666
2016-02,14,GitHub,6666
2016-02,0,GitLab,6666
2016-02,0,Bitbucket,6666
2005-06,64,Total,64
2005-06,31,OADS,64
2005-06,33,NonOADS,64
2005-06,0,SourceForge,64
2005-06,0,GitHub,64
2005-06,0,GitLab,64
2005-06,0,Bitbucket,64
2002-08,40,Total,40
2002-08,0,OADS,40
2002-08,40,NonOADS,40
2002-08,0,SourceForge,40
2002-08,0,GitHub,40
2002-08,0,GitLab,40
2002-08,0,Bitbucket,40
2010-08,1421,Total,1421
2010-08,359,OADS,1421
2010-08,1058,NonOADS,1421
2010-08,4,SourceForge,1421
2010-08,0,GitHub,1421
2010-08,0,GitLab,1421
2010-08,0,Bitbucket,1421
1999-01,37,Total,37
1999-01,2,OADS,37
1999-01,35,NonOADS,37
1999-01,0,SourceForge,37
1999-01,0,GitHub,37
1999-01,0,GitLab,37
1999-01,0,Bitbucket,37
2000-09,79,Total,79
2000-09,4,OADS,79
2000-09,75,NonOADS,79
2000-09,0,SourceForge,79
2000-09,0,GitHub,79
2000-09,0,GitLab,79
2000-09,0,Bitbucket,79
1998-05,47,Total,47
1998-05,4,OADS,47
1998-05,43,NonOADS,47
1998-05,0,SourceForge,47
1998-05,0,GitHub,47
1998-05,0,GitLab,47
1998-05,0,Bitbucket,47
2012-09,2958,Total,2958
2012-09,715,OADS,2958
2012-09,2238,NonOADS,2958
2012-09,4,SourceForge,2958
2012-09,1,GitHub,2958
2012-09,0,GitLab,2958
2012-09,0,Bitbucket,2958
2016-05,7584,Total,7584
2016-05,1210,OADS,7584
2016-05,6347,NonOADS,7584
2016-05,9,SourceForge,7584
2016-05,18,GitHub,7584
2016-05,0,GitLab,7584
2016-05,0,Bitbucket,7584
2005-01,32,Total,32
2005-01,9,OADS,32
2005-01,23,NonOADS,32
2005-01,0,SourceForge,32
2005-01,0,GitHub,32
2005-01,0,GitLab,32
2005-01,0,Bitbucket,32
2013-10,4208,Total,4208
2013-10,838,OADS,4208
2013-10,3352,NonOADS,4208
2013-10,12,SourceForge,4208
2013-10,6,GitHub,4208
2013-10,0,GitLab,4208
2013-10,0,Bitbucket,4208
2012-02,2564,Total,2564
2012-02,639,OADS,2564
