Directory,URICount,Category,TotalURIs
2020-12,32,SourceForge,15174
2020-12,2229,GitHub,15174
2020-12,25,GitLab,15174
2020-12,20,Bitbucket,15174
2014-05,5316,Total,5316
2014-05,1357,OADS,5316
2014-05,3811,NonOADS,5316
2014-05,44,SourceForge,5316
2014-05,87,GitHub,5316
2014-05,3,GitLab,5316
2014-05,14,Bitbucket,5316
2011-10,3896,Total,3896
2011-10,1167,OADS,3896
2011-10,2688,NonOADS,3896
2011-10,29,SourceForge,3896
2011-10,11,GitHub,3896
2011-10,0,GitLab,3896
2011-10,1,Bitbucket,3896
2011-06,3217,Total,3217
2011-06,936,OADS,3217
2011-06,2245,NonOADS,3217
2011-06,28,SourceForge,3217
2011-06,7,GitHub,3217
2011-06,0,GitLab,3217
2011-06,1,Bitbucket,3217
2018-05,12089,Total,12089
2018-05,2691,OADS,12089
2018-05,7970,NonOADS,12089
2018-05,41,SourceForge,12089
2018-05,1348,GitHub,12089
2018-05,11,GitLab,12089
2018-05,28,Bitbucket,12089
2015-01,5381,Total,5381
2015-01,1407,OADS,5381
2015-01,3810,NonOADS,5381
2015-01,44,SourceForge,5381
2015-01,112,GitHub,5381
2015-01,0,GitLab,5381
2015-01,8,Bitbucket,5381
2020-04,12919,Total,12919
2020-04,2229,OADS,12919
2020-04,8546,NonOADS,12919
2020-04,40,SourceForge,12919
2020-04,2063,GitHub,12919
2020-04,21,GitLab,12919
2020-04,20,Bitbucket,12919
2008-08,1787,Total,1787
2008-08,519,OADS,1787
2008-08,1261,NonOADS,1787
2008-08,7,SourceForge,1787
2008-08,0,GitHub,1787
2008-08,0,GitLab,1787
2008-08,0,Bitbucket,1787
2016-08,7192,Total,7192
2016-08,1826,OADS,7192
2016-08,4870,NonOADS,7192
2016-08,60,SourceForge,7192
2016-08,401,GitHub,7192
2016-08,2,GitLab,7192
2016-08,33,Bitbucket,7192
2014-09,4189,Total,4189
2014-09,1168,OADS,4189
2014-09,2920,NonOADS,4189
2014-09,33,SourceForge,4189
2014-09,59,GitHub,4189
2014-09,0,GitLab,4189
2014-09,9,Bitbucket,4189
2018-09,11807,Total,11807
2018-09,2541,OADS,11807
2018-09,7884,NonOADS,11807
2018-09,48,SourceForge,11807
2018-09,1296,GitHub,11807
2018-09,13,GitLab,11807
2018-09,25,Bitbucket,11807
2020-08,18564,Total,18564
2020-08,3361,OADS,18564
