URLCount,ecdf
1.0,0.306
1.0,0.308
1.0,0.31
1.0,0.312
1.0,0.31399999999999995
1.0,0.31599999999999995
1.0,0.31799999999999995
1.0,0.31999999999999995
1.0,0.32199999999999995
1.0,0.32399999999999995
1.0,0.326
1.0,0.328
1.0,0.33
1.0,0.33199999999999996
1.0,0.33399999999999996
1.0,0.33599999999999997
1.0,0.33799999999999997
1.0,0.33999999999999997
1.0,0.34199999999999997
1.0,0.344
1.0,0.346
1.0,0.348
1.0,0.35
1.0,0.352
1.0,0.354
1.0,0.356
1.0,0.358
1.0,0.36
1.0,0.362
1.0,0.36399999999999993
1.0,0.36599999999999994
1.0,0.368
1.0,0.37
1.0,0.372
1.0,0.374
1.0,0.376
1.0,0.37799999999999995
1.0,0.37999999999999995
1.0,0.38199999999999995
1.0,0.38399999999999995
1.0,0.38599999999999995
1.0,0.38799999999999996
1.0,0.38999999999999996
1.0,0.392
1.0,0.394
1.0,0.396
1.0,0.398
1.0,0.4
1.0,0.402
1.0,0.4039999999999999
1.0,0.4059999999999999
1.0,0.4079999999999999
1.0,0.4099999999999999
1.0,0.412
1.0,0.414
1.0,0.416
1.0,0.418
1.0,0.42
1.0,0.422
1.0,0.424
1.0,0.426
1.0,0.428
1.0,0.43
1.0,0.432
1.0,0.43399999999999994
1.0,0.43599999999999994
1.0,0.43799999999999994
1.0,0.43999999999999995
1.0,0.44199999999999995
1.0,0.44399999999999995
1.0,0.44599999999999995
1.0,0.44799999999999995
1.0,0.44999999999999996
1.0,0.45199999999999996
1.0,0.45399999999999996
1.0,0.45599999999999996
1.0,0.45799999999999996
1.0,0.45999999999999996
1.0,0.462
1.0,0.464
1.0,0.466
1.0,0.4679999999999999
1.0,0.4699999999999999
1.0,0.4719999999999999
1.0,0.4739999999999999
1.0,0.4759999999999999
1.0,0.478
1.0,0.48
1.0,0.482
1.0,0.484
1.0,0.486
1.0,0.488
1.0,0.49
1.0,0.492
1.0,0.494
1.0,0.496
1.0,0.49799999999999994
1.0,0.49999999999999994
1.0,0.5019999999999999
1.0,0.5039999999999999
1.0,0.5059999999999999
1.0,0.5079999999999999
1.0,0.5099999999999999
1.0,0.512
1.0,0.514
1.0,0.516
1.0,0.518
1.0,0.52
1.0,0.522
1.0,0.524
1.0,0.526
1.0,0.528
1.0,0.53
1.0,0.5319999999999999
1.0,0.5339999999999999
1.0,0.5359999999999999
1.0,0.5379999999999999
1.0,0.5399999999999999
1.0,0.5419999999999999
1.0,0.5439999999999999
1.0,0.5459999999999999
1.0,0.5479999999999999
1.0,0.5499999999999999
1.0,0.5519999999999999
1.0,0.5539999999999999
1.0,0.5559999999999999
1.0,0.5579999999999999
1.0,0.5599999999999999
1.0,0.5619999999999999
1.0,0.564
1.0,0.566
