URLCount,cdf
424,99.89400000000026
426,99.89600000000026
454,99.89800000000027
463,99.90000000000026
476,99.90200000000027
480,99.90400000000027
485,99.90600000000028
503,99.90800000000027
504,99.91000000000028
508,99.91200000000028
524,99.91400000000029
527,99.91600000000028
543,99.91800000000029
572,99.92000000000029
573,99.92200000000028
591,99.92400000000029
601,99.92600000000029
606,99.9280000000003
624,99.93000000000029
655,99.9320000000003
676,99.9340000000003
730,99.9360000000003
759,99.9380000000003
772,99.94000000000031
805,99.9420000000003
809,99.94400000000032
813,99.94800000000032
814,99.95000000000032
826,99.95200000000033
888,99.95400000000032
901,99.95600000000032
903,99.95800000000033
977,99.96000000000032
993,99.96200000000033
1002,99.96400000000033
1042,99.96600000000034
1185,99.96800000000033
1228,99.97000000000034
1243,99.97200000000034
1275,99.97400000000034
1289,99.97600000000034
1337,99.97800000000035
1446,99.98000000000035
1500,99.98200000000035
1627,99.98400000000035
1651,99.98600000000036
1996,99.98800000000035
1998,99.99000000000035
2031,99.99200000000036
2632,99.99400000000036
3119,99.99600000000036
3412,99.99800000000036
3976,100.00000000000036
