URLCount,ecdf,Category
1.0,80.32786885245902,SourceForge
1.0,81.14754098360656,SourceForge
1.0,81.9672131147541,SourceForge
1.0,82.78688524590164,SourceForge
1.0,83.60655737704919,SourceForge
1.0,84.42622950819673,SourceForge
1.0,85.24590163934427,SourceForge
1.0,86.06557377049181,SourceForge
1.0,86.88524590163935,SourceForge
1.0,87.70491803278689,SourceForge
2.0,88.52459016393443,SourceForge
2.0,89.34426229508198,SourceForge
2.0,90.1639344262295,SourceForge
2.0,90.98360655737704,SourceForge
2.0,91.80327868852459,SourceForge
2.0,92.62295081967213,SourceForge
2.0,93.44262295081968,SourceForge
2.0,94.26229508196722,SourceForge
2.0,95.08196721311477,SourceForge
2.0,95.9016393442623,SourceForge
2.0,96.72131147540985,SourceForge
3.0,97.54098360655739,SourceForge
3.0,98.36065573770493,SourceForge
3.0,99.18032786885247,SourceForge
31.0,100.0,SourceForge
0,0,GitHub
-inf,0.0,GitHub
1.0,0.49261083743842365,GitHub
1.0,0.9852216748768473,GitHub
1.0,1.477832512315271,GitHub
1.0,1.9704433497536946,GitHub
1.0,2.4630541871921183,GitHub
1.0,2.9556650246305423,GitHub
1.0,3.4482758620689653,GitHub
1.0,3.9408866995073892,GitHub
1.0,4.433497536945813,GitHub
1.0,4.926108374384237,GitHub
1.0,5.41871921182266,GitHub
1.0,5.9113300492610845,GitHub
1.0,6.403940886699506,GitHub
1.0,6.896551724137931,GitHub
1.0,7.389162561576354,GitHub
1.0,7.8817733990147785,GitHub
1.0,8.374384236453201,GitHub
1.0,8.866995073891625,GitHub
1.0,9.35960591133005,GitHub
1.0,9.852216748768472,GitHub
1.0,10.344827586206897,GitHub
1.0,10.83743842364532,GitHub
1.0,11.330049261083744,GitHub
1.0,11.822660098522167,GitHub
1.0,12.31527093596059,GitHub
1.0,12.807881773399016,GitHub
1.0,13.30049261083744,GitHub
1.0,13.793103448275861,GitHub
1.0,14.285714285714285,GitHub
1.0,14.778325123152708,GitHub
1.0,15.270935960591133,GitHub
1.0,15.763546798029557,GitHub
1.0,16.25615763546798,GitHub
1.0,16.748768472906402,GitHub
1.0,17.241379310344826,GitHub
1.0,17.733990147783253,GitHub
1.0,18.226600985221676,GitHub
1.0,18.7192118226601,GitHub
1.0,19.21182266009852,GitHub
1.0,19.704433497536947,GitHub
1.0,20.19704433497537,GitHub
1.0,20.689655172413794,GitHub
1.0,21.182266009852217,GitHub
1.0,21.67487684729064,GitHub
1.0,22.167487684729064,GitHub
1.0,22.660098522167488,GitHub
1.0,23.15270935960591,GitHub
1.0,23.645320197044335,GitHub
1.0,24.137931034482758,GitHub
1.0,24.63054187192118,GitHub
1.0,25.12315270935961,GitHub
1.0,25.615763546798032,GitHub
1.0,26.108374384236456,GitHub
1.0,26.60098522167488,GitHub
1.0,27.093596059113302,GitHub
1.0,27.586206896551722,GitHub
1.0,28.078817733990146,GitHub
1.0,28.57142857142857,GitHub
1.0,29.064039408866993,GitHub
1.0,29.556650246305416,GitHub
1.0,30.049261083743843,GitHub
1.0,30.541871921182267,GitHub
1.0,31.03448275862069,GitHub
1.0,31.527093596059114,GitHub
1.0,32.01970443349754,GitHub
1.0,32.51231527093596,GitHub
1.0,33.004926108374384,GitHub
1.0,33.497536945812804,GitHub
1.0,33.99014778325123,GitHub
1.0,34.48275862068966,GitHub
1.0,34.97536945812808,GitHub
1.0,35.467980295566505,GitHub
1.0,35.960591133004925,GitHub
1.0,36.45320197044335,GitHub
1.0,36.94581280788177,GitHub
1.0,37.4384236453202,GitHub
1.0,37.93103448275862,GitHub
1.0,38.42364532019704,GitHub
1.0,38.91625615763547,GitHub
1.0,39.40886699507389,GitHub
1.0,39.90147783251231,GitHub
1.0,40.39408866995074,GitHub
1.0,40.88669950738916,GitHub
1.0,41.37931034482759,GitHub
1.0,41.87192118226601,GitHub
1.0,42.364532019704434,GitHub
1.0,42.857142857142854,GitHub
1.0,43.34975369458128,GitHub
1.0,43.84236453201971,GitHub
1.0,44.33497536945813,GitHub
1.0,44.827586206896555,GitHub
1.0,45.320197044334975,GitHub
1.0,45.812807881773395,GitHub
1.0,46.30541871921182,GitHub
1.0,46.79802955665024,GitHub
1.0,47.29064039408867,GitHub
1.0,47.78325123152709,GitHub
1.0,48.275862068965516,GitHub
1.0,48.76847290640394,GitHub
1.0,49.26108374384236,GitHub
1.0,49.75369458128079,GitHub
1.0,50.24630541871922,GitHub
1.0,50.73891625615764,GitHub
1.0,51.231527093596064,GitHub
1.0,51.724137931034484,GitHub
1.0,52.21674876847291,GitHub
1.0,52.70935960591133,GitHub
1.0,53.20197044334976,GitHub
1.0,53.69458128078818,GitHub
1.0,54.187192118226605,GitHub
1.0,54.679802955665025,GitHub
1.0,55.172413793103445,GitHub
1.0,55.66502463054187,GitHub
1.0,56.15763546798029,GitHub
1.0,56.65024630541872,GitHub
