Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-10,SourceForge,1.0588235294117647,1,0.23529411764705882,1.0,1.0,1.0,0.003478142262838437,1,2
2019-10,GitHub,1.6068459657701712,1,1.5415840068293674,1.0,1.0,2.0,0.13946668485303143,1,39
2019-10,GitLab,1.0526315789473684,1,0.22329687826943606,1.0,1.0,1.0,0.0012957784900770647,1,2
2019-10,Bitbucket,1.075,1.0,0.26339134382131846,1.0,1.0,1.0,0.0027279547159517153,1,2
2015-06,SourceForge,1.1216216216216217,1.0,0.40110329945015755,1.0,1.0,1.0,0.00803910917979359,1,3
2015-06,GitHub,1.4723404255319148,1,1.6942584052277638,1.0,1.0,1.0,0.025529603476371537,1,24
2015-06,GitLab,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.00032590983161325367,1,2
2015-06,Bitbucket,1.4444444444444444,1.0,0.7617394000445604,1.0,1.0,2.0,0.001955458989679522,1,4
2021-11,SourceForge,1.2340425531914894,1,1.308121374377821,1.0,1.0,1.0,0.002999744702578504,1,10
2021-11,GitHub,1.8159943382873318,1.0,2.0933890698008617,1.0,1.0,2.0,0.1803676282869543,1,45
2021-11,GitLab,1.0961538461538463,1.0,0.3540760122984994,1.0,1.0,1.0,0.0033188664794485574,1,3
2021-11,Bitbucket,1.1470588235294117,1.0,0.6006052310782981,1.0,1.0,1.0,0.0021700280827163646,1,4
2018-02,SourceForge,1.1746031746031746,1,0.4892392065848394,1.0,1.0,1.0,0.005951818611242324,1,3
2018-02,GitHub,1.6193293885601578,1.0,1.68736490992166,1.0,1.0,2.0,0.09579593764761454,1,32
2018-02,GitLab,1.1111111111111112,1,0.3142696805273545,1.0,1.0,1.0,0.0008502598016060463,1,2
2018-02,Bitbucket,1.1714285714285715,1,0.5062870041905528,1.0,1.0,1.0,0.0033065658951346244,1,3
2007-10,SourceForge,1,1,0.0,1.0,1.0,1.0,0.002524827470122875,1,1
2007-10,GitHub,0,0,0,0,0,0,0,0,0
2007-10,GitLab,0,0,0,0,0,0,0,0,0
2007-10,Bitbucket,0,0,0,0,0,0,0,0,0
2011-01,SourceForge,1.103448275862069,1,0.3045434781492361,1.0,1.0,1.0,0.004773662551440329,1,2
2011-01,GitHub,1,1.0,0.0,1.0,1.0,1.0,0.0003292181069958848,1,1
2011-01,GitLab,0,0,0,0,0,0,0,0,0
2011-01,Bitbucket,0,0,0,0,0,0,0,0,0
2021-07,SourceForge,1.0757575757575757,1.0,0.36142001339019886,1.0,1.0,1.0,0.004460665044606651,1,3
2021-07,GitHub,1.8374493180980465,1,2.0790953217455552,1.0,1.0,2.0,0.183360367666937,1,44
2021-07,GitLab,1.119047619047619,1.0,0.3905052254013506,1.0,1.0,1.0,0.00283860502838605,1,3
2021-07,Bitbucket,1.2333333333333334,1.0,0.6674994798166929,1.0,1.0,1.0,0.00202757502027575,1,4
2014-02,SourceForge,1.0930232558139534,1,0.29046502318132084,1.0,1.0,1.0,0.005842391304347826,1,2
2014-02,GitHub,1.1794871794871795,1.0,0.6353595740186598,1.0,1.0,1.0,0.010597826086956521,1,5
2014-02,GitLab,0,0,0,0,0,0,0,0,0
2014-02,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0016304347826086956,1,1
2007-06,SourceForge,1.0666666666666667,1,0.24944382578492943,1.0,1.0,1.0,0.0033482142857142855,1,2
2007-06,GitHub,0,0,0,0,0,0,0,0,0
2007-06,GitLab,0,0,0,0,0,0,0,0,0
2007-06,Bitbucket,0,0,0,0,0,0,0,0,0
2010-05,SourceForge,1.5384615384615385,1.0,1.9261513885459869,1.0,1.0,1.0,0.004536730064561159,1,11
2010-05,GitHub,1,1,1,1,1,1,0.00017448961786773688,1,1
2010-05,GitLab,0,0,0,0,0,0,0,0,0
2010-05,Bitbucket,0,0,0,0,0,0,0,0,0
2019-06,SourceForge,1.3,1.0,1.1357816691600546,1.0,1.0,1.0,0.00405120725976341,1,8
2019-06,GitHub,1.6407447973713034,1.0,1.2954399310839793,1.0,1.0,2.0,0.14795008912655971,1,15
2019-06,GitLab,1.0526315789473684,1,0.22329687826943606,1.0,1.0,1.0,0.0015394587587100957,1,2
2019-06,Bitbucket,1.0344827586206897,1,0.18246560765962694,1.0,1.0,1.0,0.0023497002106627773,1,2
2015-10,SourceForge,1.1587301587301588,1,0.5692197167314638,1.0,1.0,1.0,0.006838163464669489,1,5
2015-10,GitHub,1.2938388625592416,1,0.5913355056107004,1.0,1.0,1.0,0.02290242049278194,1,4
2015-10,GitLab,0,0,0,0,0,0,0,0,0
2015-10,Bitbucket,1.2,1.0,0.4,1.0,1.0,1.0,0.0021708455443395203,1,2
2017-07,SourceForge,1.1594202898550725,1,0.7541803960149385,1.0,1.0,1.0,0.006921456515197111,1,7
2017-07,GitHub,1.4936708860759493,1,1.1533120647458104,1.0,1.0,2.0,0.07132109539572676,1,12
2017-07,GitLab,1.3333333333333333,1,0.4714045207910317,1.0,1.0,2.0,0.0003009328919650918,1,2
2017-07,Bitbucket,1.03125,1.0,0.17399263633843817,1.0,1.0,1.0,0.0032099508476276456,1,2
2012-12,SourceForge,1.0909090909090908,1,0.28747978728803447,1.0,1.0,1.0,0.00474069817554949,1,2
2012-12,GitHub,1.1666666666666667,1.0,0.37267799624996495,1.0,1.0,1.0,0.0043097256141359,1,2
2012-12,GitLab,0,0,0,0,0,0,0,0,0
2012-12,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0002873150409423933,1,1
2009-07,SourceForge,1,1,0.0,1.0,1.0,1.0,0.00375,1,1
2009-07,GitHub,0,0,0,0,0,0,0,0,0
2009-07,GitLab,0,0,0,0,0,0,0,0,0
2009-07,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.00035714285714285714,1,1
2016-03,SourceForge,1.0740740740740742,1.0,0.2618914004394621,1.0,1.0,1.0,0.0055492755112526975,1,2
2016-03,GitHub,1.4390934844192635,1,1.1201736382941792,1.0,1.0,1.0,0.036275819545781525,1,10
2016-03,GitLab,1.5,1.5,0.5,0.75,1.5,2.25,0.0002055287226389888,1,2
2016-03,Bitbucket,1.0714285714285714,1.0,0.25753937681885636,1.0,1.0,1.0,0.0014387010584729215,1,2
2009-11,SourceForge,1.0476190476190477,1,0.21295885499997996,1.0,1.0,1.0,0.0036694041586580466,1,2
2009-11,GitHub,1,1.0,0.0,1.0,1.0,1.0,0.00034946706272933774,1,1
2009-11,GitLab,0,0,0,0,0,0,0,0,0
2009-11,Bitbucket,1,1,1,1,1,1,0.00017473353136466887,1,1
2017-11,SourceForge,1.0526315789473684,1,0.22329687826943606,1.0,1.0,1.0,0.004923130074278805,1,2
2017-11,GitHub,1.5813186813186813,1.0,1.6312478933782593,1.0,1.0,2.0,0.07859733978234583,1,23
2017-11,GitLab,1.0909090909090908,1,0.28747978728803447,1.0,1.0,1.0,0.0009500777336327518,1,2
2017-11,Bitbucket,1.1724137931034482,1,0.46005738152159775,1.0,1.0,1.0,0.0025047503886681637,1,3
2008-03,SourceForge,1.0434782608695652,1,0.20393111999232302,1.0,1.0,1.0,0.0050941306755260245,1,2
2008-03,GitHub,0,0,0,0,0,0,0,0,0
2008-03,GitLab,0,0,0,0,0,0,0,0,0
2008-03,Bitbucket,0,0,0,0,0,0,0,0,0
2012-04,SourceForge,1.1538461538461537,1.0,0.532938710021193,1.0,1.0,1.0,0.007739246911742819,1,4
2012-04,GitHub,1.3888888888888888,1.0,0.5905636562630361,1.0,1.0,2.0,0.0026789700848340527,1,3
2012-04,GitLab,0,0,0,0,0,0,0,0,0
2012-04,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0002976633427593392,1,1
2010-09,SourceForge,1.3513513513513513,1,0.7431203829658118,1.0,1.0,1.0,0.005954296749275828,1,4
2010-09,GitHub,1,1,0.0,1.0,1.0,1.0,0.00048278081750885096,1,1
2010-09,GitLab,0,0,0,0,0,0,0,0,0
2010-09,Bitbucket,1,1,1,1,1,1,0.000160926939169617,1,1
2012-08,SourceForge,1.4736842105263157,1.0,2.086760800168317,1.0,1.0,1.0,0.00578915295551493,1,14
2012-08,GitHub,1.1071428571428572,1.0,0.30929478706587094,1.0,1.0,1.0,0.0042656916514320535,1,2
2012-08,GitLab,0,0,0,0,0,0,0,0,0
2012-08,Bitbucket,1,1.0,0.0,1.0,1.0,1.0,0.0006093845216331506,1,1
2008-04,SourceForge,1.0555555555555556,1.0,0.2290614236454256,1.0,1.0,1.0,0.003676470588235294,1,2
2008-04,GitHub,0,0,0,0,0,0,0,0,0
2008-04,GitLab,0,0,0,0,0,0,0,0,0
2008-04,Bitbucket,0,0,0,0,0,0,0,0,0
2012-03,SourceForge,1.1282051282051282,1,0.3343180720616743,1.0,1.0,1.0,0.005657913825620194,1,2
2012-03,GitHub,1.3333333333333333,1,0.7126966450997985,1.0,1.0,1.5,0.0030465689830262584,1,4
2012-03,GitLab,0,0,0,0,0,0,0,0,0
2012-03,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.0004352241404323226,1,1
2013-11,SourceForge,1.1454545454545455,1,0.400825594273611,1.0,1.0,1.0,0.0071633237822349575,1,3
2013-11,GitHub,1.3692307692307693,1,1.7326656277293646,1.0,1.0,1.0,0.008465746288095858,1,14
2013-11,GitLab,1,1,1,1,1,1,0.00013024225058609013,1,1
2013-11,Bitbucket,1.1428571428571428,1,0.3499271061118826,1.0,1.0,1.0,0.0009116957541026309,1,2
2016-04,SourceForge,1.04,1.0,0.19595917942265426,1.0,1.0,1.0,0.005590965000559097,1,2
2016-04,GitHub,1.4006211180124224,1.0,1.1760021176307645,1.0,1.0,1.0,0.03600581460360058,1,15
2016-04,GitLab,1.75,1.0,1.299038105676658,1.0,1.0,3.25,0.00044727720004472774,1,4
2016-04,Bitbucket,1.0833333333333333,1.0,0.2763853991962833,1.0,1.0,1.0,0.004025494800402549,1,2
2013-07,SourceForge,1.3,1.0,0.9219544457292888,1.0,1.0,1.0,0.005935422602089269,1,7
2013-07,GitHub,1.2641509433962264,1,0.6189139421455367,1.0,1.0,1.0,0.006291547958214625,1,4
2013-07,GitLab,0,0,0,0,0,0,0,0,0
2013-07,Bitbucket,2,2,1.0690449676496976,1.0,2.0,3.0,0.0008309591642924976,1,4
2016-12,SourceForge,1.1166666666666667,1.0,0.41197356981027583,1.0,1.0,1.0,0.006260434056761269,1,3
2016-12,GitHub,1.4429223744292237,1.0,1.0425568536348646,1.0,1.0,1.0,0.04570116861435726,1,9
2016-12,GitLab,1,1,0.0,1.0,1.0,1.0,0.00031302170283806343,1,1
2016-12,Bitbucket,1.08,1,0.2712931993250107,1.0,1.0,1.0,0.0026085141903171953,1,2
2008-12,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.0019561815336463224,1,1
2008-12,GitHub,0,0,0,0,0,0,0,0,0
2008-12,GitLab,0,0,0,0,0,0,0,0,0
