Directory,URLCount,Category
2014-04,123,GitHub
2014-04,0,GitLab
2014-04,7,Bitbucket
2018-12,63,SourceForge
2018-12,2122,GitHub
2018-12,14,GitLab
2018-12,47,Bitbucket
2011-11,45,SourceForge
2011-11,18,GitHub
2011-11,0,GitLab
2011-11,3,Bitbucket
2010-03,20,SourceForge
2010-03,2,GitHub
2010-03,0,GitLab
2010-03,1,Bitbucket
2017-01,67,SourceForge
2017-01,698,GitHub
2017-01,5,GitLab
2017-01,22,Bitbucket
2013-06,49,SourceForge
2013-06,65,GitHub
2013-06,0,GitLab
2013-06,5,Bitbucket
2009-01,18,SourceForge
2009-01,0,GitHub
2009-01,0,GitLab
2009-01,0,Bitbucket
2013-10,72,SourceForge
2013-10,73,GitHub
2013-10,0,GitLab
2013-10,8,Bitbucket
2016-05,61,SourceForge
2016-05,573,GitHub
2016-05,6,GitLab
2016-05,25,Bitbucket
2008-05,15,SourceForge
2008-05,1,GitHub
2008-05,0,GitLab
2008-05,0,Bitbucket
2012-02,42,SourceForge
2012-02,12,GitHub
2012-02,0,GitLab
2012-02,2,Bitbucket
2020-06,92,SourceForge
2020-06,5291,GitHub
2020-06,59,GitLab
2020-06,43,Bitbucket
2015-03,63,SourceForge
2015-03,209,GitHub
2015-03,0,GitLab
2015-03,14,Bitbucket
2018-07,72,SourceForge
2018-07,1819,GitHub
2018-07,15,GitLab
2018-07,54,Bitbucket
2011-04,27,SourceForge
2011-04,5,GitHub
2011-04,0,GitLab
2011-04,1,Bitbucket
2014-11,45,SourceForge
2014-11,177,GitHub
2014-11,0,GitLab
2014-11,10,Bitbucket
2021-02,59,SourceForge
2021-02,4684,GitHub
2021-02,47,GitLab
2021-02,48,Bitbucket
2011-12,45,SourceForge
2011-12,12,GitHub
2011-12,0,GitLab
2011-12,0,Bitbucket
2018-11,84,SourceForge
2018-11,2353,GitHub
2018-11,19,GitLab
2018-11,65,Bitbucket
2014-07,66,SourceForge
2014-07,120,GitHub
2014-07,0,GitLab
2014-07,23,Bitbucket
2020-10,121,SourceForge
2020-10,6370,GitHub
2020-10,61,GitLab
2020-10,55,Bitbucket
2019-03,71,SourceForge
2019-03,2119,GitHub
2019-03,14,GitLab
2019-03,46,Bitbucket
2017-02,87,SourceForge
2017-02,747,GitHub
2017-02,8,GitLab
2017-02,28,Bitbucket
2008-10,14,SourceForge
2008-10,1,GitHub
2008-10,0,GitLab
2008-10,0,Bitbucket
2016-10,61,SourceForge
2016-10,762,GitHub
2016-10,2,GitLab
2016-10,32,Bitbucket
2009-02,16,SourceForge
2009-02,3,GitHub
2009-02,0,GitLab
2009-02,0,Bitbucket
2013-05,51,SourceForge
2013-05,40,GitHub
2013-05,0,GitLab
2013-05,4,Bitbucket
2016-06,56,SourceForge
2016-06,668,GitHub
2016-06,3,GitLab
2016-06,30,Bitbucket
2012-01,44,SourceForge
2012-01,18,GitHub
2012-01,0,GitLab
2012-01,4,Bitbucket
2008-06,26,SourceForge
2008-06,0,GitHub
2008-06,0,GitLab
2008-06,0,Bitbucket
2011-08,51,SourceForge
2011-08,8,GitHub
2011-08,0,GitLab
2011-08,0,Bitbucket
2013-09,52,SourceForge
2013-09,78,GitHub
2013-09,0,GitLab
2013-09,14,Bitbucket
2013-08,44,SourceForge
2013-08,68,GitHub
2013-08,1,GitLab
2013-08,14,Bitbucket
2011-09,43,SourceForge
2011-09,9,GitHub
2011-09,0,GitLab
2011-09,1,Bitbucket
2008-07,21,SourceForge
2008-07,0,GitHub
2008-07,0,GitLab
2008-07,0,Bitbucket
2016-07,60,SourceForge
2016-07,420,GitHub
2016-07,5,GitLab
2016-07,26,Bitbucket
2013-12,74,SourceForge
2013-12,84,GitHub
2013-12,0,GitLab
2013-12,10,Bitbucket
2016-11,77,SourceForge
2016-11,832,GitHub
2016-11,2,GitLab
2016-11,38,Bitbucket
2009-03,20,SourceForge
2009-03,3,GitHub
2009-03,0,GitLab
2009-03,0,Bitbucket
2013-04,81,SourceForge
2013-04,50,GitHub
2013-04,0,GitLab
2013-04,7,Bitbucket
2017-03,121,SourceForge
2017-03,1023,GitHub
2017-03,5,GitLab
2017-03,47,Bitbucket
2008-11,17,SourceForge
2008-11,1,GitHub
2008-11,0,GitLab
2008-11,0,Bitbucket
2010-01,64,SourceForge
2010-01,3,GitHub
2010-01,0,GitLab
2010-01,0,Bitbucket
2019-02,61,SourceForge
2019-02,2172,GitHub
2019-02,16,GitLab
2019-02,41,Bitbucket
2020-11,79,SourceForge
2020-11,4675,GitHub
2020-11,48,GitLab
2020-11,52,Bitbucket
2018-10,63,SourceForge
2018-10,2305,GitHub
2018-10,18,GitLab
2018-10,39,Bitbucket
2014-06,59,SourceForge
2014-06,137,GitHub
2014-06,0,GitLab
2014-06,17,Bitbucket
2021-03,68,SourceForge
2021-03,6184,GitHub
2021-03,109,GitLab
2021-03,42,Bitbucket
2018-06,49,SourceForge
2018-06,1777,GitHub
2018-06,11,GitLab
2018-06,59,Bitbucket
2011-05,36,SourceForge
2011-05,6,GitHub
2011-05,0,GitLab
2011-05,1,Bitbucket
2014-10,77,SourceForge
2014-10,204,GitHub
2014-10,0,GitLab
2014-10,23,Bitbucket
2015-02,62,SourceForge
2015-02,190,GitHub
2015-02,0,GitLab
2015-02,22,Bitbucket
2020-07,78,SourceForge
2020-07,4803,GitHub
2020-07,57,GitLab
2020-07,59,Bitbucket
2015-09,60,SourceForge
2015-09,305,GitHub
2015-09,0,GitLab
2015-09,19,Bitbucket
2007-09,15,SourceForge
2007-09,0,GitHub
2007-09,0,GitLab
2007-09,0,Bitbucket
2021-08,62,SourceForge
2021-08,4656,GitHub
2021-08,95,GitLab
2021-08,34,Bitbucket
2019-09,79,SourceForge
2019-09,3494,GitHub
2019-09,30,GitLab
2019-09,32,Bitbucket
2017-08,54,SourceForge
2017-08,1178,GitHub
2017-08,10,GitLab
2017-08,32,Bitbucket
2009-08,23,SourceForge
2009-08,0,GitHub
2009-08,0,GitLab
2009-08,0,Bitbucket
2015-05,62,SourceForge
2015-05,234,GitHub
