Directory,FileCount,FileWithURL
1992-07,233,1
2011-08,1699,1264
1942-09,88,0
1970-02,110,0
1979-01,121,0
1934-11,89,0
1995-09,186,0
1931-04,105,0
1963-06,59,0
1938-07,121,0
1912-10,87,0
1940-12,65,0
1904-01,68,0
1949-11,81,0
2005-02,189,83
1956-03,37,0
1945-07,97,0
1926-07,107,0
1974-05,97,0
1971-10,171,1
1923-12,67,0
1967-01,146,0
1935-03,114,0
1952-04,95,0
1900-06,61,0
1909-05,79,0
1948-03,59,0
1957-11,36,0
1939-03,102,0
1926-11,75,0
1962-02,47,0
1978-05,105,0
1923-04,85,0
1987-09,116,0
1971-06,102,0
2008-10,546,353
1944-03,57,0
1900-10,78,0
1952-12,61,0
1957-07,82,0
1905-05,54,0
1934-07,117,0
1966-05,103,0
1999-09,168,80
1975-01,148,0
1938-11,90,0
1927-03,119,0
1963-10,129,0
1931-12,55,0
1949-07,113,0
1940-04,97,0
2013-05,2934,2584
1912-06,53,0
1908-01,67,0
2016-10,6174,5654
1945-11,79,0
2000-01,162,87
1947-06,70,0
1910-11,66,0
2011-12,2740,2014
1919-12,58,0
2007-03,277,194
1954-02,49,0
2018-11,9951,7082
1933-05,102,0
1997-08,154,96
1961-07,100,0
1968-04,119,0
2021-02,11535,11063
1972-03,95,0
1920-01,68,0
1964-12,69,0
1936-10,118,1
1929-02,87,0
1911-03,77,0
1943-01,86,0
2006-11,210,177
1955-10,72,0
2019-03,9294,8285
1950-05,79,0
1902-07,83,0
1959-06,26,0
2020-10,12464,11693
1973-11,112,0
1937-02,65,0
1928-10,111,0
1989-08,148,0
1924-06,94,0
1976-04,170,0
1955-06,44,0
2015-03,5170,4482
1946-02,73,0
1959-10,69,0
1928-06,103,0
1985-08,149,0
1973-07,172,0
1976-12,98,0
1924-10,93,0
1960-03,45,0
1932-01,134,0
1947-10,82,0
1958-02,30,0
1903-03,61,0
1951-01,119,0
2018-07,8218,7562
1919-04,51,0
1942-05,90,0
1968-12,65,0
1925-02,72,0
1961-11,39,15
1936-06,78,0
1964-04,98,0
1958-09,47,0
1903-08,84,0
1981-04,155,1
1925-09,97,0
1988-07,232,0
1984-11,127,0
1946-09,81,0
1993-12,191,0
1985-03,126,0
1960-08,28,0
1996-07,246,2
