Directory,Category,Mean,Median,StDev,Cut1,Cut2,Cut3,Percentage,Min,Max
2019-7904,Bitbucket,0,0,0,0,0,0,0,0,0
2019-0812,SourceForge,0,0,0,0,0,0,0,0,0
2019-0812,GitHub,0,0,0,0,0,0,0,0,0
2019-0812,GitLab,0,0,0,0,0,0,0,0,0
2019-0812,Bitbucket,0,0,0,0,0,0,0,0,0
2020-0911,SourceForge,1,1.0,0.0,1.0,1.0,1.0,0.006191950464396285,1,1
2020-0911,GitHub,0,0,0,0,0,0,0,0,0
2020-0911,GitLab,0,0,0,0,0,0,0,0,0
2020-0911,Bitbucket,0,0,0,0,0,0,0,0,0
2020-1603,SourceForge,1.2727272727272727,1,0.616575453011388,1.0,1.0,1.0,0.0017402309761113748,1,3
2020-1603,GitHub,1.3703703703703705,1,0.9486109981381998,1.0,1.0,1.0,0.004271476032273375,1,5
2020-1603,GitLab,0,0,0,0,0,0,0,0,0
2020-1603,Bitbucket,1.25,1.0,0.4330127018922193,1.0,1.0,1.75,0.0006328112640404999,1,2
2019-4502,SourceForge,0,0,0,0,0,0,0,0,0
2019-4502,GitHub,0,0,0,0,0,0,0,0,0
2019-4502,GitLab,0,0,0,0,0,0,0,0,0
2019-4502,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5606,SourceForge,0,0,0,0,0,0,0,0,0
2019-5606,GitHub,0,0,0,0,0,0,0,0,0
2019-5606,GitLab,0,0,0,0,0,0,0,0,0
2019-5606,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9808,SourceForge,0,0,0,0,0,0,0,0,0
2019-9808,GitHub,0,0,0,0,0,0,0,0,0
2019-9808,GitLab,0,0,0,0,0,0,0,0,0
2019-9808,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3506,SourceForge,0,0,0,0,0,0,0,0,0
2019-3506,GitHub,0,0,0,0,0,0,0,0,0
2019-3506,GitLab,0,0,0,0,0,0,0,0,0
2019-3506,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6704,SourceForge,0,0,0,0,0,0,0,0,0
2019-6704,GitHub,0,0,0,0,0,0,0,0,0
2019-6704,GitLab,0,0,0,0,0,0,0,0,0
2019-6704,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6211,SourceForge,0,0,0,0,0,0,0,0,0
2019-6211,GitHub,0,0,0,0,0,0,0,0,0
2019-6211,GitLab,0,0,0,0,0,0,0,0,0
2019-6211,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3910,SourceForge,0,0,0,0,0,0,0,0,0
2019-3910,GitHub,0,0,0,0,0,0,0,0,0
2019-3910,GitLab,0,0,0,0,0,0,0,0,0
2019-3910,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2602,SourceForge,0,0,0,0,0,0,0,0,0
2019-2602,GitHub,0,0,0,0,0,0,0,0,0
2019-2602,GitLab,0,0,0,0,0,0,0,0,0
2019-2602,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4105,SourceForge,0,0,0,0,0,0,0,0,0
2019-4105,GitHub,0,0,0,0,0,0,0,0,0
2019-4105,GitLab,0,0,0,0,0,0,0,0,0
2019-4105,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4806,SourceForge,0,0,0,0,0,0,0,0,0
2019-4806,GitHub,0,0,0,0,0,0,0,0,0
2019-4806,GitLab,0,0,0,0,0,0,0,0,0
2019-4806,Bitbucket,0,0,0,0,0,0,0,0,0
2019-0003,SourceForge,0,0,0,0,0,0,0,0,0
2019-0003,GitHub,0,0,0,0,0,0,0,0,0
2019-0003,GitLab,0,0,0,0,0,0,0,0,0
2019-0003,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5201,SourceForge,0,0,0,0,0,0,0,0,0
2019-5201,GitHub,0,0,0,0,0,0,0,0,0
2019-5201,GitLab,0,0,0,0,0,0,0,0,0
2019-5201,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4410,SourceForge,0,0,0,0,0,0,0,0,0
2019-4410,GitHub,0,0,0,0,0,0,0,0,0
2019-4410,GitLab,0,0,0,0,0,0,0,0,0
2019-4410,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6712,SourceForge,0,0,0,0,0,0,0,0,0
2019-6712,GitHub,0,0,0,0,0,0,0,0,0
2019-6712,GitLab,0,0,0,0,0,0,0,0,0
2019-6712,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3510,SourceForge,0,0,0,0,0,0,0,0,0
2019-3510,GitHub,0,0,0,0,0,0,0,0,0
2019-3510,GitLab,0,0,0,0,0,0,0,0,0
2019-3510,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7103,SourceForge,0,0,0,0,0,0,0,0,0
2019-7103,GitHub,0,0,0,0,0,0,0,0,0
2019-7103,GitLab,0,0,0,0,0,0,0,0,0
2019-7103,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2301,SourceForge,0,0,0,0,0,0,0,0,0
2019-2301,GitHub,0,0,0,0,0,0,0,0,0
2019-2301,GitLab,0,0,0,0,0,0,0,0,0
2019-2301,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3906,SourceForge,0,0,0,0,0,0,0,0,0
2019-3906,GitHub,0,0,0,0,0,0,0,0,0
2019-3906,GitLab,0,0,0,0,0,0,0,0,0
2019-3906,Bitbucket,0,0,0,0,0,0,0,0,0
2019-3005,SourceForge,0,0,0,0,0,0,0,0,0
2019-3005,GitHub,0,0,0,0,0,0,0,0,0
2019-3005,GitLab,0,0,0,0,0,0,0,0,0
2019-3005,Bitbucket,0,0,0,0,0,0,0,0,0
2019-9408,SourceForge,0,0,0,0,0,0,0,0,0
2019-9408,GitHub,0,0,0,0,0,0,0,0,0
2019-9408,GitLab,0,0,0,0,0,0,0,0,0
2019-9408,Bitbucket,0,0,0,0,0,0,0,0,0
2019-6207,SourceForge,0,0,0,0,0,0,0,0,0
2019-6207,GitHub,0,0,0,0,0,0,0,0,0
2019-6207,GitLab,0,0,0,0,0,0,0,0,0
2019-6207,Bitbucket,0,0,0,0,0,0,0,0,0
2019-4810,SourceForge,0,0,0,0,0,0,0,0,0
2019-4810,GitHub,0,0,0,0,0,0,0,0,0
2019-4810,GitLab,0,0,0,0,0,0,0,0,0
2019-4810,Bitbucket,0,0,0,0,0,0,0,0,0
2020-0403,SourceForge,0,0,0,0,0,0,0,0,0
2020-0403,GitHub,0,0,0,0,0,0,0,0,0
2020-0403,GitLab,0,0,0,0,0,0,0,0,0
2020-0403,Bitbucket,0,0,0,0,0,0,0,0,0
2019-5702,SourceForge,0,0,0,0,0,0,0,0,0
2019-5702,GitHub,0,0,0,0,0,0,0,0,0
2019-5702,GitLab,0,0,0,0,0,0,0,0,0
2019-5702,Bitbucket,0,0,0,0,0,0,0,0,0
2019-1311,SourceForge,0,0,0,0,0,0,0,0,0
2019-1311,GitHub,0,0,0,0,0,0,0,0,0
2019-1311,GitLab,0,0,0,0,0,0,0,0,0
2019-1311,Bitbucket,0,0,0,0,0,0,0,0,0
2020-1707,SourceForge,1.0909090909090908,1.0,0.28747978728803447,1.0,1.0,1.0,0.0027359781121751026,1,2
2020-1707,GitHub,1.4787234042553192,1.0,0.8840035068315841,1.0,1.0,2.0,0.011690088297475438,1,5
2020-1707,GitLab,0,0,0,0,0,0,0,0,0
2020-1707,Bitbucket,1,1,0.0,1.0,1.0,1.0,0.0008705384902375327,1,1
2019-4406,SourceForge,0,0,0,0,0,0,0,0,0
2019-4406,GitHub,0,0,0,0,0,0,0,0,0
2019-4406,GitLab,0,0,0,0,0,0,0,0,0
2019-4406,Bitbucket,0,0,0,0,0,0,0,0,0
2019-2706,SourceForge,0,0,0,0,0,0,0,0,0
2019-2706,GitHub,0,0,0,0,0,0,0,0,0
2019-2706,GitLab,0,0,0,0,0,0,0,0,0
2019-2706,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7504,SourceForge,0,0,0,0,0,0,0,0,0
2019-7504,GitHub,0,0,0,0,0,0,0,0,0
2019-7504,GitLab,0,0,0,0,0,0,0,0,0
2019-7504,Bitbucket,0,0,0,0,0,0,0,0,0
2019-7912,SourceForge,0,0,0,0,0,0,0,0,0
