URLCount,ecdf,Category
1.0,3.3837293016558667,SourceForge
1.0,3.419726421886249,SourceForge
1.0,3.45572354211663,SourceForge
1.0,3.4917206623470114,SourceForge
1.0,3.5277177825773935,SourceForge
1.0,3.563714902807775,SourceForge
1.0,3.599712023038157,SourceForge
1.0,3.6357091432685382,SourceForge
1.0,3.6717062634989195,SourceForge
1.0,3.7077033837293016,SourceForge
1.0,3.743700503959683,SourceForge
1.0,3.779697624190064,SourceForge
1.0,3.8156947444204463,SourceForge
1.0,3.8516918646508276,SourceForge
1.0,3.887688984881209,SourceForge
1.0,3.923686105111591,SourceForge
1.0,3.9596832253419723,SourceForge
1.0,3.995680345572354,SourceForge
1.0,4.031677465802735,SourceForge
1.0,4.0676745860331165,SourceForge
1.0,4.103671706263499,SourceForge
1.0,4.13966882649388,SourceForge
1.0,4.175665946724261,SourceForge
1.0,4.211663066954643,SourceForge
1.0,4.247660187185025,SourceForge
1.0,4.283657307415406,SourceForge
1.0,4.319654427645788,SourceForge
1.0,4.355651547876169,SourceForge
1.0,4.3916486681065505,SourceForge
1.0,4.427645788336933,SourceForge
1.0,4.463642908567314,SourceForge
1.0,4.499640028797696,SourceForge
1.0,4.535637149028077,SourceForge
1.0,4.571634269258459,SourceForge
1.0,4.607631389488841,SourceForge
1.0,4.643628509719222,SourceForge
1.0,4.679625629949603,SourceForge
1.0,4.7156227501799854,SourceForge
1.0,4.751619870410367,SourceForge
1.0,4.787616990640748,SourceForge
1.0,4.82361411087113,SourceForge
1.0,4.859611231101511,SourceForge
1.0,4.8956083513318935,SourceForge
1.0,4.931605471562275,SourceForge
1.0,4.967602591792656,SourceForge
1.0,5.003599712023038,SourceForge
1.0,5.0395968322534195,SourceForge
1.0,5.075593952483801,SourceForge
1.0,5.111591072714183,SourceForge
1.0,5.147588192944564,SourceForge
1.0,5.183585313174945,SourceForge
1.0,5.219582433405328,SourceForge
1.0,5.255579553635709,SourceForge
1.0,5.29157667386609,SourceForge
1.0,5.327573794096472,SourceForge
1.0,5.3635709143268535,SourceForge
1.0,5.399568034557236,SourceForge
1.0,5.435565154787617,SourceForge
1.0,5.471562275017998,SourceForge
1.0,5.50755939524838,SourceForge
1.0,5.543556515478762,SourceForge
1.0,5.579553635709143,SourceForge
1.0,5.615550755939525,SourceForge
1.0,5.651547876169906,SourceForge
1.0,5.6875449964002875,SourceForge
1.0,5.723542116630669,SourceForge
1.0,5.759539236861051,SourceForge
1.0,5.795536357091432,SourceForge
1.0,5.8315334773218135,SourceForge
1.0,5.867530597552195,SourceForge
1.0,5.903527717782577,SourceForge
1.0,5.939524838012958,SourceForge
1.0,5.975521958243339,SourceForge
1.0,6.011519078473722,SourceForge
1.0,6.047516198704103,SourceForge
1.0,6.083513318934484,SourceForge
1.0,6.119510439164866,SourceForge
1.0,6.1555075593952475,SourceForge
1.0,6.191504679625629,SourceForge
1.0,6.227501799856011,SourceForge
1.0,6.263498920086392,SourceForge
1.0,6.2994960403167735,SourceForge
1.0,6.335493160547155,SourceForge
1.0,6.371490280777538,SourceForge
1.0,6.407487401007919,SourceForge
1.0,6.4434845212383,SourceForge
1.0,6.4794816414686816,SourceForge
1.0,6.515478761699063,SourceForge
1.0,6.551475881929446,SourceForge
1.0,6.587473002159827,SourceForge
1.0,6.623470122390208,SourceForge
1.0,6.65946724262059,SourceForge
1.0,6.695464362850971,SourceForge
1.0,6.731461483081352,SourceForge
1.0,6.767458603311735,SourceForge
1.0,6.8034557235421165,SourceForge
1.0,6.839452843772498,SourceForge
1.0,6.875449964002879,SourceForge
1.0,6.91144708423326,SourceForge
1.0,6.9474442044636415,SourceForge
1.0,6.983441324694025,SourceForge
1.0,7.019438444924406,SourceForge
1.0,7.055435565154787,SourceForge
1.0,7.091432685385168,SourceForge
1.0,7.12742980561555,SourceForge
1.0,7.163426925845933,SourceForge
1.0,7.199424046076314,SourceForge
1.0,7.235421166306695,SourceForge
1.0,7.2714182865370764,SourceForge
1.0,7.307415406767458,SourceForge
1.0,7.343412526997839,SourceForge
1.0,7.379409647228222,SourceForge
1.0,7.415406767458603,SourceForge
1.0,7.4514038876889845,SourceForge
1.0,7.487401007919366,SourceForge
1.0,7.523398128149747,SourceForge
1.0,7.559395248380129,SourceForge
1.0,7.595392368610511,SourceForge
1.0,7.631389488840893,SourceForge
1.0,7.667386609071274,SourceForge
1.0,7.703383729301655,SourceForge
1.0,7.739380849532036,SourceForge
1.0,7.775377969762419,SourceForge
1.0,7.811375089992801,SourceForge
1.0,7.847372210223182,SourceForge
1.0,7.883369330453563,SourceForge
1.0,7.9193664506839445,SourceForge
1.0,7.955363570914327,SourceForge
1.0,7.991360691144708,SourceForge
1.0,8.02735781137509,SourceForge
1.0,8.06335493160547,SourceForge
1.0,8.099352051835853,SourceForge
1.0,8.135349172066233,SourceForge
