Directory,URLCount,Category
2007-12,0,GitLab
2007-12,0,Bitbucket
2015-04,6188,Total
2015-04,47,SourceForge
2015-04,181,GitHub
2015-04,0,GitLab
2015-04,15,Bitbucket
2010-11,3376,Total
2010-11,28,SourceForge
2010-11,4,GitHub
2010-11,0,GitLab
2010-11,1,Bitbucket
2019-12,13645,Total
2019-12,43,SourceForge
2019-12,1749,GitHub
2019-12,14,GitLab
2019-12,24,Bitbucket
2020-01,14605,Total
2020-01,45,SourceForge
2020-01,1709,GitHub
2020-01,16,GitLab
2020-01,37,Bitbucket
2009-09,3105,Total
2009-09,18,SourceForge
2009-09,1,GitHub
2009-09,0,GitLab
2009-09,0,Bitbucket
2017-09,8525,Total
2017-09,44,SourceForge
2017-09,711,GitHub
2017-09,4,GitLab
2017-09,23,Bitbucket
2019-08,11302,Total
2019-08,30,SourceForge
2019-08,1539,GitHub
2019-08,19,GitLab
2019-08,18,Bitbucket
2021-09,22718,Total
2021-09,48,SourceForge
2021-09,3803,GitHub
2021-09,32,GitLab
2021-09,21,Bitbucket
2007-08,1758,Total
2007-08,9,SourceForge
2007-08,0,GitHub
2007-08,0,GitLab
2007-08,0,Bitbucket
2015-08,5356,Total
2015-08,48,SourceForge
2015-08,190,GitHub
2015-08,2,GitLab
2015-08,17,Bitbucket
